tmdbID,imdbID,Title,Year,Directors,WatchedDate,Rewatch,Format,ReviewURL
,,SLC Punk,1998,James Merendino,2025-01-04,FALSE,Standard,
,,Loki: Season One,2021,Kate Herron,2025-01-05,TRUE,Standard,
,,Juror #2,2024,Clint Eastwood,2025-01-07,FALSE,Standard,
,,Mad Max: Fury Road,2015,George Miller,2025-01-08,TRUE,Standard,
,,Challengers,2024,Lucas Guadagnino,2025-01-10,FALSE,Standard,
,,Wicked,2024,Jon M. Chu,2025-01-11,FALSE,Standard,
,,The Devil's Backbone,2001,Guillermo Del Toro,2025-01-12,FALSE,Standard,
,,The Brutalist,2024,Brady Corbet,2025-01-15,FALSE,IMAX Laser,https://www.tanishsmoviereviews.com/reviews/brutalist_2025.html
,,Hulk,2003,Ang Lee,2025-01-19,TRUE,Standard,https://www.tanishsmoviereviews.com/reviews/hulk_2025.html
,,Loki: Season Two,2023,"Justin Benson, Aaron Moorhead",2025-01-20,FALSE,Standard,
,,Once Upon a Time in the West,1968,Sergio Leone,2025-01-21,FALSE,Standard,
,,Se7en,1995,David Fincher,2025-01-25,FALSE,Standard,
,,A Simple Plan,1998,Sam Raimi,2025-01-28,FALSE,Standard,
,,Signs,2002,M. Night Shyamalan,2025-01-29,FALSE,Standard,
,,Sully,2016,Clint Eastwood,2025-01-31,TRUE,Standard,
,,The Polar Express,2004,Robert Zemekis,2025-02-06,TRUE,Standard,
,,Margin Call,2011,J.C. Chandor,2025-02-09,TRUE,Standard,https://www.tanishsmoviereviews.com/reviews/margin_call_2025.html
,,Spider-Man: Into the Spiderverse,2018,"Bob Persichetti, Peter Ramsey, Rodney Rothman",2025-02-13,TRUE,Standard,
,,Captain America: Brave New World,2025,Julius Oneh,2025-02-16,FALSE,Cinemark XD,https://www.tanishsmoviereviews.com/reviews/captain_america_brave_new_world_2025.html
,,Companion,2025,Drew Hancock,2025-02-19,FALSE,Standard,https://www.tanishsmoviereviews.com/reviews/companion_2025.html
,,Anora,2024,Sean Baker,2025-02-24,FALSE,Standard,https://www.tanishsmoviereviews.com/reviews/anora_2025.html
,,The Substance,2024,Coralie Fargeat,2025-02-26,FALSE,Standard,
,,No Country For Old Men,2007,"Joel Coen, Ethan Coen",2025-03-03,TRUE,Standard,
,,Superman,1978,Richard Donner,2025-03-07,TRUE,Standard,
,,Mickey 17,2025,Boon Jong Ho,2025-03-11,FALSE,Cinemark XD,https://www.tanishsmoviereviews.com/reviews/mickey_17_2025.html
